Data,Czas,Data,Produkt,ISIN,Opis,Kurs,Zmiana,,Saldo,,Identyfikator zlecenia
12-11-2020,00:00,11-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,05",EUR,"484,02",
11-11-2020,12:03,10-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 230,46 przy 0,9825 EUR",,,,EUR,"484,07",
10-11-2020,15:47,10-11-2020,ALIBABA GROUP HOLDING,US01609W1027,FX Credit,"1,1791",USD,"266,42",USD,"0,00",cd784744-dde8-4087-8e7b-9afcaccbbcae
10-11-2020,15:47,10-11-2020,ALIBABA GROUP HOLDING,US01609W1027,FX Withdrawal,,EUR,"-225,95",EUR,"484,07",cd784744-dde8-4087-8e7b-9afcaccbbcae
10-11-2020,15:47,10-11-2020,ALIBABA GROUP HOLDING,US01609W1027,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"710,02",cd784744-dde8-4087-8e7b-9afcaccbbcae
10-11-2020,15:47,10-11-2020,ALIBABA GROUP HOLDING,US01609W1027,"Kupno 1 ALIBABA GROUP HOLDING@266,42 USD (US01609W1027)",,USD,"-266,42",USD,"-266,42",cd784744-dde8-4087-8e7b-9afcaccbbcae
10-11-2020,12:04,09-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 546,6008 przy 0,9826 EUR",,EUR,"0,05",EUR,"710,52",
10-11-2020,00:00,09-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,13",EUR,"710,46",
09-11-2020,15:31,09-11-2020,PFIZER INC. COMMON ST,US7170811035,FX Credit,"1,1903",USD,"419,40",USD,"0,00",643692e0-4a9d-459a-a2e0-0972cdfd2b26
09-11-2020,15:31,09-11-2020,PFIZER INC. COMMON ST,US7170811035,FX Withdrawal,,EUR,"-352,35",EUR,"710,59",643692e0-4a9d-459a-a2e0-0972cdfd2b26
09-11-2020,15:31,09-11-2020,PFIZER INC. COMMON ST,US7170811035,DEGIRO Opłata Transakcyjna,,EUR,"-0,03",EUR,"1062,94",643692e0-4a9d-459a-a2e0-0972cdfd2b26
09-11-2020,15:31,09-11-2020,PFIZER INC. COMMON ST,US7170811035,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1062,97",643692e0-4a9d-459a-a2e0-0972cdfd2b26
09-11-2020,15:31,09-11-2020,PFIZER INC. COMMON ST,US7170811035,"Kupno 10 PFIZER INC. COMMON ST@41,94 USD (US7170811035)",,USD,"-419,40",USD,"-419,40",643692e0-4a9d-459a-a2e0-0972cdfd2b26
09-11-2020,14:32,09-11-2020,PFIZER INC,US7170811035,DEGIRO Opłata Transakcyjna,,EUR,"-4,00",EUR,"1063,47",fa6db920-9f2a-4ff9-91b9-36d71d6b51ea
09-11-2020,14:32,09-11-2020,PFIZER INC,US7170811035,DEGIRO Opłata Transakcyjna,,EUR,"-0,18",EUR,"1067,47",fa6db920-9f2a-4ff9-91b9-36d71d6b51ea
09-11-2020,14:32,09-11-2020,PFIZER INC,US7170811035,"Kupno 10 Pfizer Inc@35,8 EUR (US7170811035)",,EUR,"-358,00",EUR,"1067,65",fa6db920-9f2a-4ff9-91b9-36d71d6b51ea
09-11-2020,12:03,06-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 10,2148 przy  0,9826 EUR",,,,EUR,"1425,65",
09-11-2020,09:17,09-11-2020,CD PROJEKT RED SA,PLOPTTC00011,FX Withdrawal,"4,4855",PLN,"-800,00",PLN,"0,00",ac926ce2-b306-487b-b153-f8cf39ce2bbc
09-11-2020,09:17,09-11-2020,CD PROJEKT RED SA,PLOPTTC00011,FX Credit,,EUR,"178,35",EUR,"1425,65",ac926ce2-b306-487b-b153-f8cf39ce2bbc
09-11-2020,09:17,09-11-2020,CD PROJEKT RED SA,PLOPTTC00011,DEGIRO Opłata Transakcyjna,,EUR,"-0,16",EUR,"1247,30",ac926ce2-b306-487b-b153-f8cf39ce2bbc
09-11-2020,09:17,09-11-2020,CD PROJEKT RED SA,PLOPTTC00011,DEGIRO Opłata Transakcyjna,,EUR,"-0,22",EUR,"1247,46",ac926ce2-b306-487b-b153-f8cf39ce2bbc
09-11-2020,09:17,09-11-2020,CD PROJEKT RED SA,PLOPTTC00011,Sprzedaż 2 CD PROJEKT RED SA@400 PLN (PLOPTTC00011),,PLN,"800,00",PLN,"800,00",ac926ce2-b306-487b-b153-f8cf39ce2bbc
06-11-2020,18:48,02-11-2020,EUR/PLN,,DEGIRO Opłata Transakcyjna,,EUR,"10,00",EUR,"1247,68",f1e020c7-93cf-40df-a720-d1e2efb13eb6
06-11-2020,12:03,05-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 370,693 przy  0,9826 EUR",,,,EUR,"1237,68",
05-11-2020,15:44,05-11-2020,TESLA MOTORS INC. - C,US88160R1014,FX Withdrawal,"1,1846",USD,"-432,11",USD,"0,00",2d676a17-9ba4-4a1d-84b5-205113ce93dc
05-11-2020,15:44,05-11-2020,TESLA MOTORS INC. - C,US88160R1014,FX Credit,,EUR,"364,78",EUR,"1237,68",2d676a17-9ba4-4a1d-84b5-205113ce93dc
05-11-2020,15:44,05-11-2020,TESLA MOTORS INC. - C,US88160R1014,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"872,90",2d676a17-9ba4-4a1d-84b5-205113ce93dc
05-11-2020,15:44,05-11-2020,TESLA MOTORS INC. - C,US88160R1014,"Sprzedaż 1 TESLA MOTORS INC. - C@432,11 USD (US88160R1014)",,USD,"432,11",USD,"432,11",2d676a17-9ba4-4a1d-84b5-205113ce93dc
05-11-2020,13:10,04-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 376,6897 przy  0,9827 EUR",,EUR,"-0,04",EUR,"873,40",
05-11-2020,00:00,04-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,05",EUR,"873,44",
04-11-2020,20:13,04-11-2020,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,"1,1727",USD,"-434,72",USD,"0,00",8c61d591-76f2-407d-8c6b-cfa198c3e9a5
04-11-2020,20:13,04-11-2020,MICROSOFT CORPORATION,US5949181045,FX Credit,,EUR,"370,71",EUR,"873,49",8c61d591-76f2-407d-8c6b-cfa198c3e9a5
04-11-2020,20:13,04-11-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"502,78",8c61d591-76f2-407d-8c6b-cfa198c3e9a5
04-11-2020,20:13,04-11-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"502,79",8c61d591-76f2-407d-8c6b-cfa198c3e9a5
04-11-2020,20:13,04-11-2020,MICROSOFT CORPORATION,US5949181045,"Sprzedaż 2 MICROSOFT CORPORATION@217,36 USD (US5949181045)",,USD,"434,72",USD,"434,72",8c61d591-76f2-407d-8c6b-cfa198c3e9a5
04-11-2020,12:51,03-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 269,658 przy 0,9827 EUR",,,,EUR,"503,29",
03-11-2020,15:34,03-11-2020,TESLA MOTORS INC. - C,US88160R1014,FX Withdrawal,"1,1732",USD,"-408,00",USD,"0,00",f34dae18-dbfc-476b-b23a-accdd126ea25
03-11-2020,15:34,03-11-2020,TESLA MOTORS INC. - C,US88160R1014,FX Credit,,EUR,"347,78",EUR,"503,29",f34dae18-dbfc-476b-b23a-accdd126ea25
03-11-2020,15:34,03-11-2020,TESLA MOTORS INC. - C,US88160R1014,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"155,51",f34dae18-dbfc-476b-b23a-accdd126ea25
03-11-2020,15:34,03-11-2020,TESLA MOTORS INC. - C,US88160R1014,Sprzedaż 1 TESLA MOTORS INC. - C@408 USD (US88160R1014),,USD,"408,00",USD,"408,00",f34dae18-dbfc-476b-b23a-accdd126ea25
03-11-2020,15:33,03-11-2020,ALIBABA GROUP HOLDING,US01609W1027,FX Credit,"1,1705",USD,"284,46",USD,"0,00",701b33ad-3241-4867-9225-6016535d5f3d
03-11-2020,15:33,03-11-2020,ALIBABA GROUP HOLDING,US01609W1027,FX Withdrawal,,EUR,"-243,02",EUR,"156,01",701b33ad-3241-4867-9225-6016535d5f3d
03-11-2020,15:33,03-11-2020,ALIBABA GROUP HOLDING,US01609W1027,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"399,03",701b33ad-3241-4867-9225-6016535d5f3d
03-11-2020,15:33,03-11-2020,ALIBABA GROUP HOLDING,US01609W1027,"Kupno 1 ALIBABA GROUP HOLDING@284,46 USD (US01609W1027)",,USD,"-284,46",USD,"-284,46",701b33ad-3241-4867-9225-6016535d5f3d
03-11-2020,08:05,02-11-2020,,,FX Withdrawal,,EUR,"1,22",EUR,"399,53",
03-11-2020,08:05,02-11-2020,,,FX Withdrawal,"4,6019",PLN,"-5,64",PLN,"0,00",
03-11-2020,07:00,04-11-2020,EUR/PLN,,FX Credit,"4,5990",PLN,"1655,64",PLN,"5,64",f1e020c7-93cf-40df-a720-d1e2efb13eb6
03-11-2020,07:00,04-11-2020,EUR/PLN,,"ROZLICZENIE TRANSAKCJI WALUTOWEJ: Kupno 360 EUR/PLN@4,599 PLN ()",,PLN,"-1655,64",PLN,"-1650,00",f1e020c7-93cf-40df-a720-d1e2efb13eb6
02-11-2020,22:59,02-11-2020,,,Wypłata,,PLN,"-1650,00",PLN,"5,64",
02-11-2020,22:58,02-11-2020,EUR/PLN,,DEGIRO Opłata Transakcyjna,,EUR,"-10,00",EUR,"398,31",f1e020c7-93cf-40df-a720-d1e2efb13eb6
02-11-2020,22:58,02-11-2020,EUR/PLN,,FX Withdrawal,,EUR,"-360,00",EUR,"408,31",f1e020c7-93cf-40df-a720-d1e2efb13eb6
02-11-2020,22:58,02-11-2020,EUR/PLN,,"Sprzedaż 360 EUR/PLN@4,599 PLN ()",,PLN,"1655,64",PLN,"1655,64",f1e020c7-93cf-40df-a720-d1e2efb13eb6
02-11-2020,12:03,30-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 362,3373 przy  0,9828 EUR",,EUR,"-0,04",EUR,"768,31",
02-11-2020,00:00,01-11-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,04",EUR,"768,34",
30-10-2020,18:42,29-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 147,5531 przy 0,9828 EUR",,,,EUR,"768,39",
30-10-2020,16:45,30-10-2020,PROCTER & GAMBLE COMPA,US7427181091,FX Credit,"1,1644",USD,"408,12",USD,"0,00",e09e708c-b491-4ad3-a7c7-3e73a59288a6
30-10-2020,16:45,30-10-2020,PROCTER & GAMBLE COMPA,US7427181091,FX Withdrawal,,EUR,"-350,49",EUR,"768,39",e09e708c-b491-4ad3-a7c7-3e73a59288a6
30-10-2020,16:45,30-10-2020,PROCTER & GAMBLE COMPA,US7427181091,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"1118,88",e09e708c-b491-4ad3-a7c7-3e73a59288a6
30-10-2020,16:45,30-10-2020,PROCTER & GAMBLE COMPA,US7427181091,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1118,89",e09e708c-b491-4ad3-a7c7-3e73a59288a6
30-10-2020,16:45,30-10-2020,PROCTER & GAMBLE COMPA,US7427181091,"Kupno 3 PROCTER & GAMBLE COMPA@136,04 USD (US7427181091)",,USD,"-408,12",USD,"-408,12",e09e708c-b491-4ad3-a7c7-3e73a59288a6
30-10-2020,16:44,30-10-2020,MICROSOFT CORPORATION,US5949181045,FX Credit,"1,1650",USD,"400,00",USD,"0,00",484da388-3db3-460c-a9e4-5701520310bc
30-10-2020,16:44,30-10-2020,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,,EUR,"-343,34",EUR,"1119,39",484da388-3db3-460c-a9e4-5701520310bc
30-10-2020,16:44,30-10-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"1462,73",484da388-3db3-460c-a9e4-5701520310bc
30-10-2020,16:44,30-10-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1462,74",484da388-3db3-460c-a9e4-5701520310bc
30-10-2020,16:44,30-10-2020,MICROSOFT CORPORATION,US5949181045,Kupno 2 MICROSOFT CORPORATION@200 USD (US5949181045),,USD,"-400,00",USD,"-400,00",484da388-3db3-460c-a9e4-5701520310bc
30-10-2020,16:43,30-10-2020,ALPHABET INC. - CLASS A,US02079K3059,FX Withdrawal,"1,1674",USD,"-1615,00",USD,"0,00",c10a7b3b-404d-40de-8f4b-d8d1841159c8
30-10-2020,16:43,30-10-2020,ALPHABET INC. - CLASS A,US02079K3059,FX Credit,,EUR,"1383,46",EUR,"1463,24",c10a7b3b-404d-40de-8f4b-d8d1841159c8
30-10-2020,16:43,30-10-2020,ALPHABET INC. - CLASS A,US02079K3059,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"79,78",c10a7b3b-404d-40de-8f4b-d8d1841159c8
30-10-2020,16:43,30-10-2020,ALPHABET INC. - CLASS A,US02079K3059,Sprzedaż 1 ALPHABET INC. - CLASS A@1 615 USD (US02079K3059),,USD,"1615,00",USD,"1615,00",c10a7b3b-404d-40de-8f4b-d8d1841159c8
30-10-2020,16:26,30-10-2020,TESLA MOTORS INC. - C,US88160R1014,FX Credit,"1,1670",USD,"386,86",USD,"0,00",ae013402-3e18-4722-b5cb-9f2ee063a9fa
30-10-2020,16:26,30-10-2020,TESLA MOTORS INC. - C,US88160R1014,FX Withdrawal,,EUR,"-331,49",EUR,"80,28",ae013402-3e18-4722-b5cb-9f2ee063a9fa
30-10-2020,16:26,30-10-2020,TESLA MOTORS INC. - C,US88160R1014,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"411,77",ae013402-3e18-4722-b5cb-9f2ee063a9fa
30-10-2020,16:26,30-10-2020,TESLA MOTORS INC. - C,US88160R1014,"Kupno 1 TESLA MOTORS INC. - C@386,86 USD (US88160R1014)",,USD,"-386,86",USD,"-386,86",ae013402-3e18-4722-b5cb-9f2ee063a9fa
29-10-2020,12:03,28-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 922,454 przy 0,9829 EUR",,EUR,"0,09",EUR,"412,27",
29-10-2020,09:10,29-10-2020,CD PROJEKT RED SA,PLOPTTC00011,FX Credit,"4,6350",PLN,"670,60",PLN,"0,00",7eae7f0e-7f44-4961-9419-ef6d863f9022
29-10-2020,09:10,29-10-2020,CD PROJEKT RED SA,PLOPTTC00011,FX Withdrawal,,EUR,"-144,68",EUR,"412,17",7eae7f0e-7f44-4961-
,,,,,,,,,,,9419-ef6d863f9022
29-10-2020,09:10,29-10-2020,CD PROJEKT RED SA,PLOPTTC00011,DEGIRO Opłata Transakcyjna,,EUR,"-0,13",EUR,"556,85",7eae7f0e-7f44-4961-9419-ef6d863f9022
29-10-2020,09:10,29-10-2020,CD PROJEKT RED SA,PLOPTTC00011,DEGIRO Opłata Transakcyjna,,EUR,"-0,22",EUR,"556,98",7eae7f0e-7f44-4961-9419-ef6d863f9022
29-10-2020,09:10,29-10-2020,CD PROJEKT RED SA,PLOPTTC00011,"Kupno 2 CD PROJEKT RED SA@335,3 PLN (PLOPTTC00011)",,PLN,"-670,60",PLN,"-670,60",7eae7f0e-7f44-4961-9419-ef6d863f9022
29-10-2020,00:00,28-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,15",EUR,"557,20",
28-10-2020,20:59,28-10-2020,MICROSOFT CORPORATION,US5949181045,FX Credit,"1,1735",USD,"202,85",USD,"0,00",94675008-82d7-4287-880a-6b4f1dabeda5
28-10-2020,20:59,28-10-2020,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,,EUR,"-172,86",EUR,"557,35",94675008-82d7-4287-880a-6b4f1dabeda5
28-10-2020,20:59,28-10-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"730,21",94675008-82d7-4287-880a-6b4f1dabeda5
28-10-2020,20:59,28-10-2020,MICROSOFT CORPORATION,US5949181045,"Kupno 1 MICROSOFT CORPORATION@202,85 USD (US5949181045)",,USD,"-202,85",USD,"-202,85",94675008-82d7-4287-880a-6b4f1dabeda5
28-10-2020,20:58,28-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,FX Withdrawal,"1,1759",USD,"-272,27",USD,"0,00",dfc2f30d-72d1-479e-827a-0287f9249d84
28-10-2020,20:58,28-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,FX Credit,,EUR,"231,55",EUR,"730,71",dfc2f30d-72d1-479e-827a-0287f9249d84
28-10-2020,20:58,28-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"499,16",dfc2f30d-72d1-479e-827a-0287f9249d84
28-10-2020,20:58,28-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,"Sprzedaż 1 SNOWFLAKE INC-CLASS A@272,27 USD (US8334451098)",,USD,"272,27",USD,"272,27",dfc2f30d-72d1-479e-827a-0287f9249d84
28-10-2020,19:12,28-10-2020,ALIBABA GROUP HOLDING,US01609W1027,FX Credit,"1,1740",USD,"308,55",USD,"0,00",6bd477c3-469e-4a5b-8fd2-a6a3176e779a
28-10-2020,19:12,28-10-2020,ALIBABA GROUP HOLDING,US01609W1027,FX Withdrawal,,EUR,"-262,81",EUR,"499,66",6bd477c3-469e-4a5b-8fd2-a6a3176e779a
28-10-2020,19:12,28-10-2020,ALIBABA GROUP HOLDING,US01609W1027,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"762,47",6bd477c3-469e-4a5b-8fd2-a6a3176e779a
28-10-2020,19:12,28-10-2020,ALIBABA GROUP HOLDING,US01609W1027,"Kupno 1 ALIBABA GROUP HOLDING@308,55 USD (US01609W1027)",,USD,"-308,55",USD,"-308,55",6bd477c3-469e-4a5b-8fd2-a6a3176e779a
28-10-2020,19:08,28-10-2020,TESLA MOTORS INC. - C,US88160R1014,FX Credit,"1,1739",USD,"411,82",USD,"0,00",d1779d3d-9998-48c9-a52a-dbf70d0552df
28-10-2020,19:08,28-10-2020,TESLA MOTORS INC. - C,US88160R1014,FX Withdrawal,,EUR,"-350,81",EUR,"762,97",d1779d3d-9998-48c9-a52a-dbf70d0552df
28-10-2020,19:08,28-10-2020,TESLA MOTORS INC. - C,US88160R1014,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1113,78",d1779d3d-9998-48c9-a52a-dbf70d0552df
28-10-2020,19:08,28-10-2020,TESLA MOTORS INC. - C,US88160R1014,"Kupno 1 TESLA MOTORS INC. - C@411,82 USD (US88160R1014)",,USD,"-411,82",USD,"-411,82",d1779d3d-9998-48c9-a52a-dbf70d0552df
28-10-2020,19:06,28-10-2020,MICROSOFT CORPORATION,US5949181045,FX Credit,"1,1739",USD,"409,98",USD,"0,00",263f266a-e00f-4aca-9d0c-0bd4e9de7fbf
28-10-2020,19:06,28-10-2020,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,,EUR,"-349,24",EUR,"1114,28",263f266a-e00f-4aca-9d0c-0bd4e9de7fbf
28-10-2020,19:06,28-10-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"1463,52",263f266a-e00f-4aca-9d0c-0bd4e9de7fbf
28-10-2020,19:06,28-10-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1463,53",263f266a-e00f-4aca-9d0c-0bd4e9de7fbf
28-10-2020,19:06,28-10-2020,MICROSOFT CORPORATION,US5949181045,"Kupno 2 MICROSOFT CORPORATION@204,99 USD (US5949181045)",,USD,"-409,98",USD,"-409,98",263f266a-e00f-4aca-9d0c-0bd4e9de7fbf
28-10-2020,12:03,27-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 0,022 przy 0,9829 EUR",,,,EUR,"1464,03",
27-10-2020,12:03,26-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 216,6106 przy 0,9829 EUR",,,,EUR,"1464,03",
26-10-2020,16:31,26-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,FX Credit,"1,1797",USD,"250,55",USD,"0,00",e0a62a52-b73d-4ffe-9874-68dd9d413e9d
26-10-2020,16:31,26-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,FX Withdrawal,,EUR,"-212,38",EUR,"1464,03",e0a62a52-b73d-4ffe-9874-68dd9d413e9d
26-10-2020,16:31,26-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1676,41",e0a62a52-b73d-4ffe-9874-68dd9d413e9d
26-10-2020,16:31,26-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,"Kupno 1 SNOWFLAKE INC-CLASS A@250,55 USD (US8334451098)",,USD,"-250,55",USD,"-250,55",e0a62a52-b73d-4ffe-9874-68dd9d413e9d
26-10-2020,12:03,23-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Sprzedaż 482,1076 przy 0,983 EUR",,EUR,"0,05",EUR,"1676,91",
26-10-2020,00:00,25-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,22",EUR,"1676,86",
23-10-2020,15:49,23-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,FX Credit,"1,1828",USD,"560,00",USD,"0,00",5e3a17dc-d059-427a-b07c-f16786453e3b
23-10-2020,15:49,23-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,FX Withdrawal,,EUR,"-473,45",EUR,"1677,08",5e3a17dc-d059-427a-b07c-f16786453e3b
23-10-2020,15:49,23-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"2150,53",5e3a17dc-d059-427a-b07c-f16786453e3b
23-10-2020,15:49,23-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"2151,03",5e3a17dc-d059-427a-b07c-f16786453e3b
23-10-2020,15:49,23-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,Kupno 2 SNOWFLAKE INC-CLASS A@280 USD (US8334451098),,USD,"-560,00",USD,"-560,00",5e3a17dc-d059-427a-b07c-f16786453e3b
23-10-2020,12:03,22-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 257,4713 przy  0,9831 EUR",,EUR,"-0,03",EUR,"2151,04",
23-10-2020,00:00,22-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,19",EUR,"2151,07",
22-10-2020,21:29,22-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,FX Withdrawal,"1,1829",USD,"-300,00",USD,"0,00",d548e5af-8e3e-4910-a73e-ea01d3baa2f4
22-10-2020,21:29,22-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,FX Credit,,EUR,"253,62",EUR,"2151,26",d548e5af-8e3e-4910-a73e-ea01d3baa2f4
22-10-2020,21:29,22-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1897,64",d548e5af-8e3e-4910-a73e-ea01d3baa2f4
22-10-2020,21:29,22-10-2020,SNOWFLAKE INC-CLASS A,US8334451098,Sprzedaż 1 SNOWFLAKE INC-CLASS A@300 USD (US8334451098),,USD,"300,00",USD,"300,00",d548e5af-8e3e-4910-a73e-ea01d3baa2f4
19-10-2020,00:00,18-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,19",EUR,"1898,14",
16-10-2020,00:00,15-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,19",EUR,"1898,33",
14-10-2020,12:03,13-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 0,0772 przy  0,9833 EUR",,,,EUR,"1898,53",
13-10-2020,12:03,12-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 759,2028 przy  0,9833 EUR",,,,EUR,"1898,53",
12-10-2020,18:14,12-10-2020,MICROSOFT CORPORATION,US5949181045,FX Withdrawal,"1,1816",USD,"-442,00",USD,"0,00",c43e8ce8-2913-4216-8db3-a2525e3d1193
12-10-2020,18:14,12-10-2020,MICROSOFT CORPORATION,US5949181045,FX Credit,,EUR,"374,08",EUR,"1898,53",c43e8ce8-2913-4216-8db3-a2525e3d1193
12-10-2020,18:14,12-10-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1524,45",c43e8ce8-2913-4216-8db3-a2525e3d1193
12-10-2020,18:14,12-10-2020,MICROSOFT CORPORATION,US5949181045,DEGIRO Opłata Transakcyjna,,EUR,"-0,01",EUR,"1524,95",c43e8ce8-2913-4216-8db3-a2525e3d1193
12-10-2020,18:14,12-10-2020,MICROSOFT CORPORATION,US5949181045,Sprzedaż 2 MICROSOFT CORPORATION@221 USD (US5949181045),,USD,"442,00",USD,"442,00",c43e8ce8-2913-4216-8db3-a2525e3d1193
12-10-2020,15:50,12-10-2020,TESLA MOTORS INC. - C,US88160R1014,FX Withdrawal,"1,1825",USD,"-441,69",USD,"0,00",7ca0ae55-8b95-4211-910c-aa640007c2cf
12-10-2020,15:50,12-10-2020,TESLA MOTORS INC. - C,US88160R1014,FX Credit,,EUR,"373,53",EUR,"1524,96",7ca0ae55-8b95-4211-910c-aa640007c2cf
12-10-2020,15:50,12-10-2020,TESLA MOTORS INC. - C,US88160R1014,DEGIRO Opłata Transakcyjna,,EUR,"-0,50",EUR,"1151,43",7ca0ae55-8b95-4211-910c-aa640007c2cf
12-10-2020,15:50,12-10-2020,TESLA MOTORS INC. - C,US88160R1014,"Sprzedaż 1 TESLA MOTORS INC. - C@441,69 USD (US88160R1014)",,USD,"441,69",USD,"441,69",7ca0ae55-8b95-4211-910c-aa640007c2cf
12-10-2020,00:00,11-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,Zmiana ceny funduszu gotówkowego (EUR),,EUR,"-0,12",EUR,"1151,93",
07-10-2020,12:03,06-10-2020,FUNDSHARE UCITS EUR CASH FUND,NL0010661914,"Konwersja funduszu gotówkowego: Zakup 0,1163 przy  0,9835 EUR",,,,EUR,"1152,04",
